,ID,Date,League,GT1,GT2,T1ID,T2ID
320,3061,2015-01-10,2. FBL Süd/Ost,5,3,60,209
321,2794,2015-01-10,2. FBL Nord/West,8,6,194,32
322,7826,2015-01-10,Herren Großfeld Regionalliga Nord,2,4,124,66
323,873,2015-01-10,1. FBL Herren,5,9,158,97
324,9339,2015-01-11,Regionalliga Süd (GF),2,6,155,37
325,4040,2015-01-11,Regionalliga Süd (GF),3,7,112,46
326,6125,2015-01-11,Regionalliga Süd (GF),2,3,37,112
327,9149,2015-01-11,2. FBL Nord/West,10,5,52,64
328,8499,2015-01-11,RL Herren GF Staffel 1,10,3,215,204
329,9592,2015-01-11,2. FBL Süd/Ost,11,2,99,209
330,4343,2015-01-11,Regionalliga Süd (GF),3,1,46,155
331,5522,2015-01-11,RL Herren GF Staffel 1,3,17,88,49
332,5231,2015-01-11,2. FBL Nord/West,5,1,221,26
333,9625,2015-01-11,Regionalliga Nordwest (Herren GF),2,12,185,163
334,4171,2015-01-11,2. FBL Süd/Ost,5,6,15,60
335,2972,2015-01-17,2. FBL Süd/Ost,5,7,60,210
336,9263,2015-01-17,2. FBL Nord/West,8,2,194,52
337,2167,2015-01-17,Stena Line FD-Pokal (Herren),7,8,205,158
338,2486,2015-01-17,2. FBL Nord/West,6,3,19,186
339,8722,2015-01-17,2. FBL Nord/West,5,2,26,64
340,5737,2015-01-17,2. FBL Nord/West,2,5,32,221
341,1314,2015-01-17,2. FBL Süd/Ost,15,1,197,209
342,8841,2015-01-18,Herren Bayernliga,7,2,77,31
343,4788,2015-01-18,Stena Line FD-Pokal (Herren),15,5,97,38
344,4938,2015-01-18,Stena Line FD-Pokal (Herren),11,1,203,32
345,6435,2015-01-18,Herren Bayernliga,5,3,86,167
346,8163,2015-01-18,2. FBL Süd/Ost,5,8,213,200
347,2285,2015-01-18,2. FBL Süd/Ost,12,6,99,15
348,4937,2015-01-18,Herren Bayernliga,3,5,31,86
349,4503,2015-01-18,Herren Bayernliga,9,6,77,167
350,1740,2015-01-24,Herren Großfeld Verbandsliga Nord,4,5,74,175
351,9107,2015-01-24,Herren Großfeld Regionalliga Nord,6,4,66,146
352,3159,2015-01-24,Regionalliga Nordwest (Herren GF),6,13,3,170
353,5890,2015-01-24,Herren Großfeld Verbandsliga Nord,8,5,181,23
354,7056,2015-01-24,2. FBL Nord/West,5,6,32,194
355,2181,2015-01-24,1. FBL Herren,5,8,80,11
356,2646,2015-01-24,Herren Großfeld Regionalliga Nord,3,9,39,73
357,6772,2015-01-24,Regionalliga Nordwest (Herren GF),3,5,145,127
358,8009,2015-01-24,Regionalliga Süd (GF),3,3,112,139
359,8393,2015-01-24,Regionalliga Süd (GF),3,6,46,112
360,93,2015-01-24,Regionalliga Nordwest (Herren GF),8,7,76,163
361,775,2015-01-24,1. FBL Herren,8,7,207,217
362,436,2015-01-24,2. FBL Süd/Ost,6,13,60,197
363,239,2015-01-24,2. FBL Nord/West,6,3,26,221
364,35,2015-01-24,Regionalliga Süd (GF),2,3,46,24
365,9417,2015-01-24,1. FBL Herren,4,9,38,97
366,1001,2015-01-24,Herren Großfeld Verbandsliga Nord,15,4,187,117
367,7782,2015-01-24,Regionalliga Süd (GF),4,5,24,139
368,8244,2015-01-24,2. FBL Nord/West,8,4,64,186
369,2739,2015-01-25,RL Herren GF Staffel 1,7,3,121,201
370,4240,2015-01-25,Westliga Herren Großfeld,1,4,159,1
371,2932,2015-01-25,Westliga Herren Großfeld,4,3,176,174
372,4809,2015-01-25,1. FBL Herren,6,3,11,207
